send_coefficient,$P_0$,$P_0.01$,$P_0.1$,$P_1$,$P_2$,$P_3$,$P_4$,$P_5$,$P_6$,$P_21$
0.8,0.724,0.802,0.844,0.871,0.889,0.903,0.914,0.924,0.933,1.0
0.9,0.903,0.926,0.937,0.968,0.986,0.993,0.997,0.999,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1,0.945,0.965,0.979,0.993,0.997,1.0,1.0,1.0,1.0,1.0
1.2,0.916,0.952,0.972,0.99,0.995,0.998,1.0,1.0,1.0,1.0
1.3,0.883,0.937,0.961,0.986,0.992,0.996,0.999,1.0,1.0,1.0
1.4,0.882,0.922,0.952,0.981,0.99,0.994,0.997,1.0,1.0,1.0
1.5,0.86,0.911,0.947,0.979,0.988,0.993,0.997,0.999,1.0,1.0
1.6,0.855,0.9,0.94,0.976,0.986,0.992,0.996,0.999,1.0,1.0
1.7,0.848,0.891,0.934,0.973,0.985,0.991,0.995,0.998,1.0,1.0
1.8,0.84,0.884,0.93,0.971,0.983,0.989,0.994,0.998,1.0,1.0
1.9,0.826,0.879,0.924,0.969,0.982,0.989,0.994,0.997,1.0,1.0
2.0,0.817,0.871,0.92,0.967,0.98,0.988,0.993,0.997,1.0,1.0
