send_coefficient,$P_0$,$P_10$,$P_25$,$P_50$,$P_75$,$P_90$,$P_100$
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1,0.926,0.946,0.976,0.991,0.993,0.994,0.996
1.2,0.922,0.936,0.97,0.987,0.989,0.991,0.994
1.3,0.916,0.931,0.964,0.983,0.986,0.988,0.992
1.4,0.909,0.926,0.959,0.979,0.982,0.986,0.988
1.5,0.905,0.919,0.954,0.975,0.979,0.983,0.985
1.6,0.892,0.913,0.946,0.971,0.975,0.98,0.984
1.7,0.886,0.909,0.941,0.967,0.973,0.976,0.981
1.8,0.883,0.9,0.937,0.963,0.97,0.973,0.978
1.9,0.877,0.896,0.934,0.958,0.966,0.969,0.976
2.0,0.871,0.889,0.927,0.952,0.96,0.964,0.972
