network_type,send_coefficient,$P_0$,$P_10$,$P_25$,$P_50$,$P_75$,$P_90$,$P_100$
Barabasi-Albert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Barabasi-Albert,1.1,0.926,0.936,0.941,0.947,0.954,0.96,0.968
Barabasi-Albert,1.2,0.922,0.928,0.933,0.939,0.946,0.953,0.96
Barabasi-Albert,1.3,0.916,0.921,0.927,0.933,0.941,0.948,0.951
Barabasi-Albert,1.4,0.909,0.914,0.921,0.927,0.934,0.942,0.948
Barabasi-Albert,1.5,0.905,0.91,0.913,0.922,0.928,0.937,0.944
Barabasi-Albert,1.6,0.892,0.904,0.908,0.916,0.924,0.931,0.938
Barabasi-Albert,1.7,0.886,0.899,0.902,0.912,0.918,0.924,0.931
Barabasi-Albert,1.8,0.883,0.892,0.896,0.905,0.915,0.918,0.928
Barabasi-Albert,1.9,0.877,0.885,0.89,0.899,0.909,0.912,0.925
Barabasi-Albert,2.0,0.871,0.881,0.886,0.892,0.903,0.907,0.916
Erdös–Rényi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Erdös–Rényi,1.1,0.984,0.987,0.988,0.99,0.992,0.993,0.994
Erdös–Rényi,1.2,0.979,0.98,0.984,0.986,0.988,0.989,0.992
Erdös–Rényi,1.3,0.976,0.977,0.979,0.981,0.984,0.984,0.987
Erdös–Rényi,1.4,0.97,0.972,0.974,0.977,0.98,0.98,0.983
Erdös–Rényi,1.5,0.963,0.968,0.97,0.973,0.975,0.977,0.982
Erdös–Rényi,1.6,0.953,0.961,0.966,0.968,0.971,0.974,0.975
Erdös–Rényi,1.7,0.95,0.958,0.961,0.964,0.966,0.97,0.972
Erdös–Rényi,1.8,0.945,0.954,0.958,0.96,0.962,0.966,0.97
Erdös–Rényi,1.9,0.942,0.949,0.951,0.953,0.956,0.96,0.966
Erdös–Rényi,2.0,0.938,0.943,0.946,0.949,0.952,0.954,0.957
Random regular,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random regular,1.1,0.988,0.989,0.99,0.992,0.994,0.994,0.995
Random regular,1.2,0.984,0.985,0.986,0.988,0.99,0.991,0.992
Random regular,1.3,0.979,0.981,0.982,0.984,0.987,0.988,0.989
Random regular,1.4,0.975,0.977,0.979,0.981,0.983,0.984,0.986
Random regular,1.5,0.972,0.973,0.975,0.977,0.979,0.982,0.984
Random regular,1.6,0.967,0.97,0.971,0.974,0.975,0.978,0.981
Random regular,1.7,0.964,0.966,0.968,0.97,0.972,0.974,0.979
Random regular,1.8,0.961,0.962,0.964,0.967,0.97,0.971,0.976
Random regular,1.9,0.953,0.956,0.96,0.963,0.966,0.968,0.972
Random regular,2.0,0.949,0.952,0.954,0.958,0.961,0.963,0.966
Watts-Strogatz,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Watts-Strogatz,1.1,0.991,0.992,0.993,0.994,0.994,0.995,0.996
Watts-Strogatz,1.2,0.986,0.988,0.988,0.99,0.991,0.992,0.994
Watts-Strogatz,1.3,0.982,0.983,0.984,0.988,0.989,0.99,0.992
Watts-Strogatz,1.4,0.979,0.98,0.982,0.984,0.986,0.987,0.988
Watts-Strogatz,1.5,0.974,0.977,0.979,0.981,0.984,0.985,0.985
Watts-Strogatz,1.6,0.97,0.974,0.975,0.978,0.98,0.982,0.984
Watts-Strogatz,1.7,0.965,0.968,0.973,0.975,0.978,0.979,0.981
Watts-Strogatz,1.8,0.961,0.965,0.97,0.972,0.974,0.975,0.978
Watts-Strogatz,1.9,0.955,0.96,0.966,0.968,0.97,0.972,0.976
Watts-Strogatz,2.0,0.949,0.954,0.96,0.963,0.966,0.969,0.972
