send_coefficient,$P_{0}$,$P_{10}$,$P_{25}$,$P_{50}$,$P_{75}$,$P_{90}$,$P_{100}$
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1,0.825,0.856,0.872,0.883,0.893,0.902,0.933
1.2,0.79,0.815,0.826,0.836,0.846,0.851,0.875
1.3,0.768,0.784,0.795,0.803,0.81,0.814,0.835
1.4,0.734,0.761,0.771,0.779,0.789,0.797,0.808
1.5,0.721,0.748,0.757,0.765,0.773,0.781,0.793
1.6,0.713,0.735,0.745,0.755,0.763,0.771,0.788
1.7,0.711,0.728,0.737,0.746,0.755,0.763,0.777
1.8,0.703,0.718,0.727,0.74,0.749,0.757,0.767
1.9,0.695,0.715,0.722,0.736,0.745,0.752,0.762
2.0,0.693,0.707,0.716,0.732,0.74,0.749,0.762
