send_coefficient,0,0.01,0.1,1,2,3,4,5,6,freq,norm_freq
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11258,1.0
1.1,0.945,0.965,0.979,0.993,0.997,1.0,1.0,1.0,1.0,2899,0.981
1.2,0.916,0.952,0.972,0.99,0.995,0.998,1.0,1.0,1.0,2622,0.976
1.3,0.883,0.937,0.961,0.986,0.992,0.996,0.999,1.0,1.0,2535,0.972
1.4,0.882,0.922,0.952,0.981,0.99,0.994,0.997,1.0,1.0,2465,0.967
1.5,0.86,0.911,0.947,0.979,0.988,0.993,0.997,0.999,1.0,2622,0.963
1.6,0.855,0.9,0.94,0.976,0.986,0.992,0.996,0.999,1.0,2392,0.959
1.7,0.848,0.891,0.934,0.973,0.985,0.991,0.995,0.998,1.0,2329,0.955
1.8,0.84,0.884,0.93,0.971,0.983,0.989,0.994,0.998,1.0,2856,0.951
1.9,0.826,0.879,0.924,0.969,0.982,0.989,0.994,0.997,1.0,3144,0.946
2.0,0.817,0.871,0.92,0.967,0.98,0.988,0.993,0.997,1.0,556924,0.941
